# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ffsb,m,ALA,N,-0.4157000
amber-ffsb,m,ALA,H,0.2719000
amber-ffsb,m,ALA,CA,0.0337000
amber-ffsb,m,ALA,HA,0.0823000
amber-ffsb,m,ALA,CB,-0.1825000
amber-ffsb,m,ALA,HB1,0.0603000
amber-ffsb,m,ALA,HB2,0.0603000
amber-ffsb,m,ALA,HB3,0.0603000
amber-ffsb,m,ALA,C,0.5973000
amber-ffsb,m,ALA,O,-0.5679000

# ALA - n-terminal
amber-ffsb,n,ALA,N,0.1414000
amber-ffsb,n,ALA,H1,0.1997000
amber-ffsb,n,ALA,H2,0.1997000
amber-ffsb,n,ALA,H3,0.1997000
amber-ffsb,n,ALA,CA,0.0962000
amber-ffsb,n,ALA,HA,0.0889000
amber-ffsb,n,ALA,CB,-0.0597000
amber-ffsb,n,ALA,HB1,0.0300000
amber-ffsb,n,ALA,HB2,0.0300000
amber-ffsb,n,ALA,HB3,0.0300000
amber-ffsb,n,ALA,C,0.6163000
amber-ffsb,n,ALA,O,-0.5722000

# ALA - c-terminal
amber-ffsb,c,ALA,N,-0.3821000
amber-ffsb,c,ALA,H,0.2681000
amber-ffsb,c,ALA,CA,-0.1747000
amber-ffsb,c,ALA,HA,0.1067000
amber-ffsb,c,ALA,CB,-0.2093000
amber-ffsb,c,ALA,HB1,0.0764000
amber-ffsb,c,ALA,HB2,0.0764000
amber-ffsb,c,ALA,HB3,0.0764000
amber-ffsb,c,ALA,C,0.7731000
amber-ffsb,c,ALA,O,-0.8055000
amber-ffsb,c,ALA,OXT,-0.8055000

# ALA - n-terminal deprotonated
amber-ffsb,n-,ALA,N,-0.6589000
amber-ffsb,n-,ALA,H1,0.1997000
amber-ffsb,n-,ALA,H2,0.1997000
amber-ffsb,n-,ALA,CA,0.0962000
amber-ffsb,n-,ALA,HA,0.0889000
amber-ffsb,n-,ALA,CB,-0.0597000
amber-ffsb,n-,ALA,HB1,0.0300000
amber-ffsb,n-,ALA,HB2,0.0300000
amber-ffsb,n-,ALA,HB3,0.0300000
amber-ffsb,n-,ALA,C,0.6163000
amber-ffsb,n-,ALA,O,-0.5722000

# ALA - c-terminal protonated
amber-ffsb,c+,ALA,N,-0.3821000
amber-ffsb,c+,ALA,H,0.2681000
amber-ffsb,c+,ALA,CA,-0.1747000
amber-ffsb,c+,ALA,HA,0.1067000
amber-ffsb,c+,ALA,CB,-0.2093000
amber-ffsb,c+,ALA,HB1,0.0764000
amber-ffsb,c+,ALA,HB2,0.0764000
amber-ffsb,c+,ALA,HB3,0.0764000
amber-ffsb,c+,ALA,C,0.7731000
amber-ffsb,c+,ALA,O,-0.5380000
amber-ffsb,c+,ALA,OXT,-0.5380000
amber-ffsb,c+,ALA,HOXT,0.4650000

# ARG - middle
amber-ffsb,m,ARG,N,-0.3479000
amber-ffsb,m,ARG,H,0.2747000
amber-ffsb,m,ARG,CA,-0.2637000
amber-ffsb,m,ARG,HA,0.1560000
amber-ffsb,m,ARG,CB,-0.0007000
amber-ffsb,m,ARG,HB2,0.0327000
amber-ffsb,m,ARG,HB3,0.0327000
amber-ffsb,m,ARG,CG,0.0390000
amber-ffsb,m,ARG,HG2,0.0285000
amber-ffsb,m,ARG,HG3,0.0285000
amber-ffsb,m,ARG,CD,0.0486000
amber-ffsb,m,ARG,HD2,0.0687000
amber-ffsb,m,ARG,HD3,0.0687000
